Query	RS_Number	R2	GWAS_Trait	P_value	PMID
rs2814953	rs205262	0.602511477638259	Body mass index	2e-09	25673413
rs2814953	rs205262	0.602511477638259	Body mass index	2e-14	26426971
rs2814953	rs205262	0.602511477638259	BMI in non-smokers	3e-07	28443625
rs2814953	rs205262	0.602511477638259	BMI in non-smokers	6e-09	28443625
rs2814953	rs205262	0.602511477638259	BMI (adjusted for smoking behaviour)	3e-07	28443625
rs2814953	rs205262	0.602511477638259	BMI (adjusted for smoking behaviour)	3e-09	28443625
rs2814953	rs205262	0.602511477638259	Body mass index (joint analysis main effects and smoking interaction)	3e-09	28443625
rs2814953	rs205262	0.602511477638259	Body mass index (joint analysis main effects and smoking interaction)	2e-07	28443625
rs2814953	rs205262	0.602511477638259	Gastroesophageal reflux disease	1e-10	34187846
rs2814953	rs205262	0.602511477638259	Body mass index	3e-10	25673413
rs2814953	rs205262	0.602511477638259	Body mass index	2e-10	25673413
rs2814953	rs205262	0.602511477638259	ICD10 M54: Dorsalgia	2e-12	35110524
rs2814955	rs9469872	0.985594575361965	HDL cholesterol levels	3e-11	36333282
rs2814955	rs9366863	0.984802831061063	Adult body size	9e-33	32376654
rs2814955	rs9366863	0.984802831061063	Body mass index	2e-44	30595370
rs2814955	rs11755393	0.978509137173925	Body mass index	3e-26	29273807
rs2814955	rs11755393	0.978509137173925	Systemic lupus erythematosus	2e-12	33493351
rs2814955	rs11755393	0.978509137173925	Systemic lupus erythematosus	2e-06	33493351
rs2814955	rs11755393	0.978509137173925	Systemic lupus erythematosus	1e-07	33493351
rs2814955	rs11755393	0.978509137173925	Systemic lupus erythematosus	2e-08	19838195
rs2814955	rs11755393	0.978509137173925	Body mass index	4e-55	36581621
rs2814955	rs6941110	0.967346510074687	Sex hormone-binding globulin levels	5e-27	36653534
rs2814955	rs9462030	0.949582973139464	Red cell distribution width	5e-25	32888493
rs2814955	rs2814949	0.947688155869807	Essential hypertension (time to event)	9e-09	32589924
rs2814955	rs9469857	0.944943071443945	Systemic lupus erythematosus (MTAG)	9e-45	36750564
rs2814955	rs2764208	0.944208717265358	Systemic lupus erythematosus	7e-06	24871463
rs2814955	rs2744944	0.938312541241385	Hypothyroidism	3e-10	34594039
rs2814955	rs2744944	0.938312541241385	High density lipoprotein cholesterol levels	3e-86	34887591
rs2814955	rs2744944	0.938312541241385	Multi-trait sex score	7e-22	37277458
rs2814955	rs9469899	0.932895650652106	Prostate cancer (advanced)	2e-06	29892016
rs2814955	rs9469899	0.932895650652106	Prostate cancer	5e-09	29892016
rs2814955	rs9469899	0.932895650652106	Prostate cancer	8e-11	33398198
rs2814955	rs9469899	0.932895650652106	Hand grip strength	3e-15	29691431
rs2814955	rs9469899	0.932895650652106	Phospholipids to total lipids ratio in large VLDL	4e-09	35213538
rs2814955	rs9469899	0.932895650652106	Graves' disease	4e-10	34594039
rs2814955	rs9469899	0.932895650652106	Coronary artery disease	1e-11	36474045
rs2814955	rs9469899	0.932895650652106	Predicted visceral adipose tissue	2e-20	31501611
rs2814955	rs9469899	0.932895650652106	Medication use (thyroid preparations)	2e-09	31015401
rs2814955	rs9469899	0.932895650652106	Medication use (thyroid preparations)	3e-10	34594039
rs2814955	rs2263329	0.918988053643494	HDL cholesterol	6e-35	34594039
rs2814955	rs2263329	0.918988053643494	HDL cholesterol levels	8e-43	32203549
rs2814955	rs2263329	0.918988053643494	High density lipoprotein cholesterol levels	2e-52	34887591
rs2814955	rs9296128	0.896314200316187	Hip circumference adjusted for BMI	4e-13	34021172
rs2814955	rs111868030	0.894786239424834	Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile)	4e-08	35589863
rs2814955	rs9368830	0.871482843035307	HDL cholesterol	4e-21	30275531
rs2814955	rs9368828	0.842133334057305	Body mass index	1e-34	34594039
rs2814955	rs6912327	0.82422154816861	Fasting insulin	5e-06	33402679
rs2814955	rs6912327	0.82422154816861	Triglycerides to total lipids ratio in large VLDL	8e-09	35213538
rs2814955	rs112283401	0.801473312816332	Red cell distribution width	4e-27	30595370
rs2814955	rs2744973	0.786385358868946	Phospholipids to total lipids ratio in large LDL	8e-09	35213538
rs2814955	rs2744973	0.786385358868946	Phospholipids to total lipids ratio in medium HDL	5e-11	35213538
rs2814955	rs2744973	0.786385358868946	Free cholesterol to total lipids ratio in medium HDL	6e-15	35213538
rs2814955	rs2744973	0.786385358868946	Multi-trait sex score	6e-20	37277458
rs2814955	rs6940215	0.637903741086296	Insomnia	2e-10	35835914
rs2814955	rs6940215	0.637903741086296	Insomnia	1e-13	35835914
rs2814955	rs6940215	0.637903741086296	Hip circumference adjusted for BMI	8e-10	34021172
rs2814955	rs6940215	0.637903741086296	Multi-trait sex score	2e-23	37277458
rs2814955	rs6940215	0.637903741086296	Multi-trait sex score	4e-23	37277458
rs2814955	rs6457796	0.629218841714412	Insomnia	1e-08	30804565
rs2814955	rs6457796	0.629218841714412	Plateletcrit	9e-11	32888494
rs2814955	rs6457796	0.629218841714412	Systemic lupus erythematosus	3e-22	33272962
rs2814955	rs6457796	0.629218841714412	Body mass index	5e-13	30108127
rs2814955	rs6457796	0.629218841714412	Body mass index	1e-14	26426971
rs2814955	rs6457796	0.629218841714412	Educational attainment	5e-19	35361970
rs2814955	rs9689160	0.608647163734184	Lung function (forced vital capacity)	3e-14	36914875
rs2814955	rs205262	0.60038694747696	Body mass index	2e-09	26961502
rs2814955	rs205262	0.60038694747696	Walking pace	4e-10	33128006
rs2814955	rs205262	0.60038694747696	Body mass index	8e-13	30108127
rs2814955	rs205262	0.60038694747696	Body mass index	2e-09	25673413
rs2814955	rs205262	0.60038694747696	Body mass index	2e-14	26426971
rs2814955	rs205262	0.60038694747696	BMI in non-smokers	3e-07	28443625
rs2814955	rs205262	0.60038694747696	BMI in non-smokers	6e-09	28443625
rs2814955	rs205262	0.60038694747696	BMI (adjusted for smoking behaviour)	3e-07	28443625
rs2814955	rs205262	0.60038694747696	BMI (adjusted for smoking behaviour)	3e-09	28443625
rs2814955	rs205262	0.60038694747696	Body mass index (joint analysis main effects and smoking interaction)	3e-09	28443625
rs2814955	rs205262	0.60038694747696	Body mass index (joint analysis main effects and smoking interaction)	2e-07	28443625
rs2814955	rs205262	0.60038694747696	Gastroesophageal reflux disease	1e-10	34187846
rs2814955	rs205262	0.60038694747696	Body mass index	3e-10	25673413
rs2814955	rs205262	0.60038694747696	Body mass index	2e-10	25673413
rs2814955	rs205262	0.60038694747696	ICD10 M54: Dorsalgia	2e-12	35110524
rs2814956	rs9469872	0.984794807652595	HDL cholesterol levels	3e-11	36333282
rs2814956	rs9366863	0.984002326716811	Adult body size	9e-33	32376654
rs2814956	rs9366863	0.984002326716811	Body mass index	2e-44	30595370
rs2814956	rs11755393	0.977721258211558	Body mass index	3e-26	29273807
rs2814956	rs11755393	0.977721258211558	Systemic lupus erythematosus	2e-12	33493351
rs2814956	rs11755393	0.977721258211558	Systemic lupus erythematosus	2e-06	33493351
rs2814956	rs11755393	0.977721258211558	Systemic lupus erythematosus	1e-07	33493351
rs2814956	rs11755393	0.977721258211558	Systemic lupus erythematosus	2e-08	19838195
rs2814956	rs11755393	0.977721258211558	Body mass index	4e-55	36581621
rs2814956	rs6941110	0.966551249921627	Sex hormone-binding globulin levels	5e-27	36653534
rs2814956	rs9462030	0.948781164374768	Red cell distribution width	5e-25	32888493
rs2814956	rs2814949	0.946906183640127	Essential hypertension (time to event)	9e-09	32589924
rs2814956	rs9469857	0.944141706095809	Systemic lupus erythematosus (MTAG)	9e-45	36750564
rs2814956	rs2764208	0.943406604496225	Systemic lupus erythematosus	7e-06	24871463
rs2814956	rs2744944	0.937530814641698	Hypothyroidism	3e-10	34594039
rs2814956	rs2744944	0.937530814641698	High density lipoprotein cholesterol levels	3e-86	34887591
rs2814956	rs2744944	0.937530814641698	Multi-trait sex score	7e-22	37277458
rs2814956	rs9469899	0.932111650669377	Prostate cancer (advanced)	2e-06	29892016
rs2814956	rs9469899	0.932111650669377	Prostate cancer	5e-09	29892016
rs2814956	rs9469899	0.932111650669377	Prostate cancer	8e-11	33398198
rs2814956	rs9469899	0.932111650669377	Hand grip strength	3e-15	29691431
rs2814956	rs9469899	0.932111650669377	Phospholipids to total lipids ratio in large VLDL	4e-09	35213538
rs2814956	rs9469899	0.932111650669377	Graves' disease	4e-10	34594039
rs2814956	rs9469899	0.932111650669377	Coronary artery disease	1e-11	36474045
rs2814956	rs9469899	0.932111650669377	Predicted visceral adipose tissue	2e-20	31501611
rs2814956	rs9469899	0.932111650669377	Medication use (thyroid preparations)	2e-09	31015401
rs2814956	rs9469899	0.932111650669377	Medication use (thyroid preparations)	3e-10	34594039
rs2814956	rs2263329	0.918208169762507	HDL cholesterol	6e-35	34594039
rs2814956	rs2263329	0.918208169762507	HDL cholesterol levels	8e-43	32203549
rs2814956	rs2263329	0.918208169762507	High density lipoprotein cholesterol levels	2e-52	34887591
rs2814956	rs9296128	0.895509385822609	Hip circumference adjusted for BMI	4e-13	34021172
rs2814956	rs111868030	0.89398206616372	Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile)	4e-08	35589863
rs2814956	rs9368830	0.870762324463012	HDL cholesterol	4e-21	30275531
rs2814956	rs9368828	0.841378748692334	Body mass index	1e-34	34594039
rs2814956	rs6912327	0.823413457747397	Fasting insulin	5e-06	33402679
rs2814956	rs6912327	0.823413457747397	Triglycerides to total lipids ratio in large VLDL	8e-09	35213538
rs2814956	rs112283401	0.800676132715852	Red cell distribution width	4e-27	30595370
rs2814956	rs2744973	0.785577524321816	Phospholipids to total lipids ratio in large LDL	8e-09	35213538
rs2814956	rs2744973	0.785577524321816	Phospholipids to total lipids ratio in medium HDL	5e-11	35213538
rs2814956	rs2744973	0.785577524321816	Free cholesterol to total lipids ratio in medium HDL	6e-15	35213538
rs2814956	rs2744973	0.785577524321816	Multi-trait sex score	6e-20	37277458
rs2814956	rs6940215	0.637134204040477	Insomnia	2e-10	35835914
rs2814956	rs6940215	0.637134204040477	Insomnia	1e-13	35835914
rs2814956	rs6940215	0.637134204040477	Hip circumference adjusted for BMI	8e-10	34021172
rs2814956	rs6940215	0.637134204040477	Multi-trait sex score	2e-23	37277458
rs2814956	rs6940215	0.637134204040477	Multi-trait sex score	4e-23	37277458
rs2814956	rs6457796	0.628401121989321	Insomnia	1e-08	30804565
rs2814956	rs6457796	0.628401121989321	Plateletcrit	9e-11	32888494
rs2814956	rs6457796	0.628401121989321	Systemic lupus erythematosus	3e-22	33272962
rs2814956	rs6457796	0.628401121989321	Body mass index	5e-13	30108127
rs2814956	rs6457796	0.628401121989321	Body mass index	1e-14	26426971
rs2814956	rs6457796	0.628401121989321	Educational attainment	5e-19	35361970
rs2814956	rs9689160	0.607821022836942	Lung function (forced vital capacity)	3e-14	36914875
rs2814957	rs9469872	0.985594575361965	HDL cholesterol levels	3e-11	36333282
rs2814957	rs9366863	0.984802831061063	Adult body size	9e-33	32376654
rs2814957	rs9366863	0.984802831061063	Body mass index	2e-44	30595370
rs2814957	rs11755393	0.978509137173925	Body mass index	3e-26	29273807
rs2814957	rs11755393	0.978509137173925	Systemic lupus erythematosus	2e-12	33493351
rs2814957	rs11755393	0.978509137173925	Systemic lupus erythematosus	2e-06	33493351
rs2814957	rs11755393	0.978509137173925	Systemic lupus erythematosus	1e-07	33493351
rs2814957	rs11755393	0.978509137173925	Systemic lupus erythematosus	2e-08	19838195
rs2814957	rs11755393	0.978509137173925	Body mass index	4e-55	36581621
rs2814957	rs6941110	0.967346510074687	Sex hormone-binding globulin levels	5e-27	36653534
rs2814957	rs9462030	0.949582973139464	Red cell distribution width	5e-25	32888493
rs2814957	rs2814949	0.947688155869807	Essential hypertension (time to event)	9e-09	32589924
rs2814957	rs9469857	0.944943071443945	Systemic lupus erythematosus (MTAG)	9e-45	36750564
rs2814957	rs2764208	0.944208717265358	Systemic lupus erythematosus	7e-06	24871463
rs2814957	rs2744944	0.938312541241385	Hypothyroidism	3e-10	34594039
rs2814957	rs2744944	0.938312541241385	High density lipoprotein cholesterol levels	3e-86	34887591
rs2814957	rs2744944	0.938312541241385	Multi-trait sex score	7e-22	37277458
rs2814957	rs9469899	0.932895650652106	Prostate cancer (advanced)	2e-06	29892016
rs2814957	rs9469899	0.932895650652106	Prostate cancer	5e-09	29892016
rs2814957	rs9469899	0.932895650652106	Prostate cancer	8e-11	33398198
rs2814957	rs9469899	0.932895650652106	Hand grip strength	3e-15	29691431
rs2814957	rs9469899	0.932895650652106	Phospholipids to total lipids ratio in large VLDL	4e-09	35213538
rs2814957	rs9469899	0.932895650652106	Graves' disease	4e-10	34594039
rs2814957	rs9469899	0.932895650652106	Coronary artery disease	1e-11	36474045
rs2814957	rs9469899	0.932895650652106	Predicted visceral adipose tissue	2e-20	31501611
rs2814957	rs9469899	0.932895650652106	Medication use (thyroid preparations)	2e-09	31015401
rs2814957	rs9469899	0.932895650652106	Medication use (thyroid preparations)	3e-10	34594039
rs2814957	rs2263329	0.918988053643494	HDL cholesterol	6e-35	34594039
rs2814957	rs2263329	0.918988053643494	HDL cholesterol levels	8e-43	32203549
rs2814957	rs2263329	0.918988053643494	High density lipoprotein cholesterol levels	2e-52	34887591
rs2814957	rs9296128	0.896314200316187	Hip circumference adjusted for BMI	4e-13	34021172
rs2814957	rs111868030	0.894786239424834	Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile)	4e-08	35589863
rs2814957	rs9368830	0.871482843035307	HDL cholesterol	4e-21	30275531
rs2814957	rs9368828	0.842133334057305	Body mass index	1e-34	34594039
rs2814957	rs6912327	0.82422154816861	Fasting insulin	5e-06	33402679
rs2814957	rs6912327	0.82422154816861	Triglycerides to total lipids ratio in large VLDL	8e-09	35213538
rs2814957	rs112283401	0.801473312816332	Red cell distribution width	4e-27	30595370
rs2814957	rs2744973	0.786385358868946	Phospholipids to total lipids ratio in large LDL	8e-09	35213538
rs2814957	rs2744973	0.786385358868946	Phospholipids to total lipids ratio in medium HDL	5e-11	35213538
rs2814957	rs2744973	0.786385358868946	Free cholesterol to total lipids ratio in medium HDL	6e-15	35213538
rs2814957	rs2744973	0.786385358868946	Multi-trait sex score	6e-20	37277458
rs2814957	rs6940215	0.637903741086296	Insomnia	2e-10	35835914
rs2814957	rs6940215	0.637903741086296	Insomnia	1e-13	35835914
rs2814957	rs6940215	0.637903741086296	Hip circumference adjusted for BMI	8e-10	34021172
rs2814957	rs6940215	0.637903741086296	Multi-trait sex score	2e-23	37277458
rs2814957	rs6940215	0.637903741086296	Multi-trait sex score	4e-23	37277458
rs2814957	rs6457796	0.629218841714412	Insomnia	1e-08	30804565
rs2814957	rs6457796	0.629218841714412	Plateletcrit	9e-11	32888494
rs2814957	rs6457796	0.629218841714412	Systemic lupus erythematosus	3e-22	33272962
rs2814957	rs6457796	0.629218841714412	Body mass index	5e-13	30108127
rs2814957	rs6457796	0.629218841714412	Body mass index	1e-14	26426971
rs2814957	rs6457796	0.629218841714412	Educational attainment	5e-19	35361970
rs2814957	rs9689160	0.608647163734184	Lung function (forced vital capacity)	3e-14	36914875
rs2814957	rs205262	0.60038694747696	Body mass index	2e-09	26961502
rs2814957	rs205262	0.60038694747696	Walking pace	4e-10	33128006
rs2814957	rs205262	0.60038694747696	Body mass index	8e-13	30108127
rs2814957	rs205262	0.60038694747696	Body mass index	2e-09	25673413
rs2814957	rs205262	0.60038694747696	Body mass index	2e-14	26426971
rs2814957	rs205262	0.60038694747696	BMI in non-smokers	3e-07	28443625
rs2814957	rs205262	0.60038694747696	BMI in non-smokers	6e-09	28443625
rs2814957	rs205262	0.60038694747696	BMI (adjusted for smoking behaviour)	3e-07	28443625
rs2814957	rs205262	0.60038694747696	BMI (adjusted for smoking behaviour)	3e-09	28443625
rs2814957	rs205262	0.60038694747696	Body mass index (joint analysis main effects and smoking interaction)	3e-09	28443625
rs2814957	rs205262	0.60038694747696	Body mass index (joint analysis main effects and smoking interaction)	2e-07	28443625
rs2814957	rs205262	0.60038694747696	Gastroesophageal reflux disease	1e-10	34187846
rs2814957	rs205262	0.60038694747696	Body mass index	3e-10	25673413
rs2814957	rs205262	0.60038694747696	Body mass index	2e-10	25673413
rs2814957	rs205262	0.60038694747696	ICD10 M54: Dorsalgia	2e-12	35110524
rs2814958	rs9469872	0.985594575361965	HDL cholesterol levels	3e-11	36333282
rs2814958	rs9366863	0.984802831061063	Adult body size	9e-33	32376654
rs2814958	rs9366863	0.984802831061063	Body mass index	2e-44	30595370
rs2814958	rs11755393	0.978509137173925	Body mass index	3e-26	29273807
rs2814958	rs11755393	0.978509137173925	Systemic lupus erythematosus	2e-12	33493351
rs2814958	rs11755393	0.978509137173925	Systemic lupus erythematosus	2e-06	33493351
rs2814958	rs11755393	0.978509137173925	Systemic lupus erythematosus	1e-07	33493351
rs2814958	rs11755393	0.978509137173925	Systemic lupus erythematosus	2e-08	19838195
rs2814958	rs11755393	0.978509137173925	Body mass index	4e-55	36581621
rs2814958	rs6941110	0.967346510074687	Sex hormone-binding globulin levels	5e-27	36653534
rs2814958	rs9462030	0.949582973139464	Red cell distribution width	5e-25	32888493
rs2814958	rs2814949	0.947688155869807	Essential hypertension (time to event)	9e-09	32589924
rs2814958	rs9469857	0.944943071443945	Systemic lupus erythematosus (MTAG)	9e-45	36750564
rs2814958	rs2764208	0.944208717265358	Systemic lupus erythematosus	7e-06	24871463
rs2814958	rs2744944	0.938312541241385	Hypothyroidism	3e-10	34594039
rs2814958	rs2744944	0.938312541241385	High density lipoprotein cholesterol levels	3e-86	34887591
rs2814958	rs2744944	0.938312541241385	Multi-trait sex score	7e-22	37277458
rs2814958	rs9469899	0.932895650652106	Prostate cancer (advanced)	2e-06	29892016
rs2814958	rs9469899	0.932895650652106	Prostate cancer	5e-09	29892016
rs2814958	rs9469899	0.932895650652106	Prostate cancer	8e-11	33398198
rs2814958	rs9469899	0.932895650652106	Hand grip strength	3e-15	29691431
rs2814958	rs9469899	0.932895650652106	Phospholipids to total lipids ratio in large VLDL	4e-09	35213538
rs2814958	rs9469899	0.932895650652106	Graves' disease	4e-10	34594039
rs2814958	rs9469899	0.932895650652106	Coronary artery disease	1e-11	36474045
rs2814958	rs9469899	0.932895650652106	Predicted visceral adipose tissue	2e-20	31501611
rs2814958	rs9469899	0.932895650652106	Medication use (thyroid preparations)	2e-09	31015401
rs2814958	rs9469899	0.932895650652106	Medication use (thyroid preparations)	3e-10	34594039
rs2814958	rs2263329	0.918988053643494	HDL cholesterol	6e-35	34594039
rs2814958	rs2263329	0.918988053643494	HDL cholesterol levels	8e-43	32203549
rs2814958	rs2263329	0.918988053643494	High density lipoprotein cholesterol levels	2e-52	34887591
rs2814958	rs9296128	0.896314200316187	Hip circumference adjusted for BMI	4e-13	34021172
rs2814958	rs111868030	0.894786239424834	Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile)	4e-08	35589863
rs2814958	rs9368830	0.871482843035307	HDL cholesterol	4e-21	30275531
rs2814958	rs9368828	0.842133334057305	Body mass index	1e-34	34594039
rs2814958	rs6912327	0.82422154816861	Fasting insulin	5e-06	33402679
rs2814958	rs6912327	0.82422154816861	Triglycerides to total lipids ratio in large VLDL	8e-09	35213538
rs2814958	rs112283401	0.801473312816332	Red cell distribution width	4e-27	30595370
rs2814958	rs2744973	0.786385358868946	Phospholipids to total lipids ratio in large LDL	8e-09	35213538
rs2814958	rs2744973	0.786385358868946	Phospholipids to total lipids ratio in medium HDL	5e-11	35213538
rs2814958	rs2744973	0.786385358868946	Free cholesterol to total lipids ratio in medium HDL	6e-15	35213538
rs2814958	rs2744973	0.786385358868946	Multi-trait sex score	6e-20	37277458
rs2814958	rs6940215	0.637903741086296	Insomnia	2e-10	35835914
rs2814958	rs6940215	0.637903741086296	Insomnia	1e-13	35835914
rs2814958	rs6940215	0.637903741086296	Hip circumference adjusted for BMI	8e-10	34021172
rs2814958	rs6940215	0.637903741086296	Multi-trait sex score	2e-23	37277458
rs2814958	rs6940215	0.637903741086296	Multi-trait sex score	4e-23	37277458
rs2814958	rs6457796	0.629218841714412	Insomnia	1e-08	30804565
rs2814958	rs6457796	0.629218841714412	Plateletcrit	9e-11	32888494
rs2814958	rs6457796	0.629218841714412	Systemic lupus erythematosus	3e-22	33272962
rs2814958	rs6457796	0.629218841714412	Body mass index	5e-13	30108127
rs2814958	rs6457796	0.629218841714412	Body mass index	1e-14	26426971
rs2814958	rs6457796	0.629218841714412	Educational attainment	5e-19	35361970
rs2814958	rs9689160	0.608647163734184	Lung function (forced vital capacity)	3e-14	36914875
rs2814958	rs205262	0.60038694747696	Body mass index	2e-09	26961502
rs2814958	rs205262	0.60038694747696	Walking pace	4e-10	33128006
rs2814958	rs205262	0.60038694747696	Body mass index	8e-13	30108127
rs2814958	rs205262	0.60038694747696	Body mass index	2e-09	25673413
rs2814958	rs205262	0.60038694747696	Body mass index	2e-14	26426971
rs2814958	rs205262	0.60038694747696	BMI in non-smokers	3e-07	28443625
rs2814958	rs205262	0.60038694747696	BMI in non-smokers	6e-09	28443625
rs2814958	rs205262	0.60038694747696	BMI (adjusted for smoking behaviour)	3e-07	28443625
rs2814958	rs205262	0.60038694747696	BMI (adjusted for smoking behaviour)	3e-09	28443625
rs2814958	rs205262	0.60038694747696	Body mass index (joint analysis main effects and smoking interaction)	3e-09	28443625
rs2814958	rs205262	0.60038694747696	Body mass index (joint analysis main effects and smoking interaction)	2e-07	28443625
rs2814958	rs205262	0.60038694747696	Gastroesophageal reflux disease	1e-10	34187846
rs2814958	rs205262	0.60038694747696	Body mass index	3e-10	25673413
rs2814958	rs205262	0.60038694747696	Body mass index	2e-10	25673413
rs2814958	rs205262	0.60038694747696	ICD10 M54: Dorsalgia	2e-12	35110524
rs2814959	rs9469872	0.985594575361965	HDL cholesterol levels	3e-11	36333282
rs2814959	rs9366863	0.984802831061063	Adult body size	9e-33	32376654
rs2814959	rs9366863	0.984802831061063	Body mass index	2e-44	30595370
rs2814959	rs11755393	0.978509137173925	Body mass index	3e-26	29273807
rs2814959	rs11755393	0.978509137173925	Systemic lupus erythematosus	2e-12	33493351
rs2814959	rs11755393	0.978509137173925	Systemic lupus erythematosus	2e-06	33493351
rs2814959	rs11755393	0.978509137173925	Systemic lupus erythematosus	1e-07	33493351
rs2814959	rs11755393	0.978509137173925	Systemic lupus erythematosus	2e-08	19838195
rs2814959	rs11755393	0.978509137173925	Body mass index	4e-55	36581621
rs2814959	rs6941110	0.967346510074687	Sex hormone-binding globulin levels	5e-27	36653534
rs2814959	rs9462030	0.949582973139464	Red cell distribution width	5e-25	32888493
rs2814959	rs2814949	0.947688155869807	Essential hypertension (time to event)	9e-09	32589924
rs2814959	rs9469857	0.944943071443945	Systemic lupus erythematosus (MTAG)	9e-45	36750564
rs2814959	rs2764208	0.944208717265358	Systemic lupus erythematosus	7e-06	24871463
rs2814959	rs2744944	0.938312541241385	Hypothyroidism	3e-10	34594039
rs2814959	rs2744944	0.938312541241385	High density lipoprotein cholesterol levels	3e-86	34887591
rs2814959	rs2744944	0.938312541241385	Multi-trait sex score	7e-22	37277458
rs2814959	rs9469899	0.932895650652106	Prostate cancer (advanced)	2e-06	29892016
rs2814959	rs9469899	0.932895650652106	Prostate cancer	5e-09	29892016
rs2814959	rs9469899	0.932895650652106	Prostate cancer	8e-11	33398198
rs2814959	rs9469899	0.932895650652106	Hand grip strength	3e-15	29691431
rs2814959	rs9469899	0.932895650652106	Phospholipids to total lipids ratio in large VLDL	4e-09	35213538
rs2814959	rs9469899	0.932895650652106	Graves' disease	4e-10	34594039
rs2814959	rs9469899	0.932895650652106	Coronary artery disease	1e-11	36474045
rs2814959	rs9469899	0.932895650652106	Predicted visceral adipose tissue	2e-20	31501611
rs2814959	rs9469899	0.932895650652106	Medication use (thyroid preparations)	2e-09	31015401
rs2814959	rs9469899	0.932895650652106	Medication use (thyroid preparations)	3e-10	34594039
rs2814959	rs2263329	0.918988053643494	HDL cholesterol	6e-35	34594039
rs2814959	rs2263329	0.918988053643494	HDL cholesterol levels	8e-43	32203549
rs2814959	rs2263329	0.918988053643494	High density lipoprotein cholesterol levels	2e-52	34887591
rs2814959	rs9296128	0.896314200316187	Hip circumference adjusted for BMI	4e-13	34021172
rs2814959	rs111868030	0.894786239424834	Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile)	4e-08	35589863
rs2814959	rs9368830	0.871482843035307	HDL cholesterol	4e-21	30275531
rs2814959	rs9368828	0.842133334057305	Body mass index	1e-34	34594039
rs2814959	rs6912327	0.82422154816861	Fasting insulin	5e-06	33402679
rs2814959	rs6912327	0.82422154816861	Triglycerides to total lipids ratio in large VLDL	8e-09	35213538
rs2814959	rs112283401	0.801473312816332	Red cell distribution width	4e-27	30595370
rs2814959	rs2744973	0.786385358868946	Phospholipids to total lipids ratio in large LDL	8e-09	35213538
rs2814959	rs2744973	0.786385358868946	Phospholipids to total lipids ratio in medium HDL	5e-11	35213538
rs2814959	rs2744973	0.786385358868946	Free cholesterol to total lipids ratio in medium HDL	6e-15	35213538
rs2814959	rs2744973	0.786385358868946	Multi-trait sex score	6e-20	37277458
rs2814959	rs6940215	0.637903741086296	Insomnia	2e-10	35835914
rs2814959	rs6940215	0.637903741086296	Insomnia	1e-13	35835914
rs2814959	rs6940215	0.637903741086296	Hip circumference adjusted for BMI	8e-10	34021172
rs2814959	rs6940215	0.637903741086296	Multi-trait sex score	2e-23	37277458
rs2814959	rs6940215	0.637903741086296	Multi-trait sex score	4e-23	37277458
rs2814959	rs6457796	0.629218841714412	Insomnia	1e-08	30804565
rs2814959	rs6457796	0.629218841714412	Plateletcrit	9e-11	32888494
rs2814959	rs6457796	0.629218841714412	Systemic lupus erythematosus	3e-22	33272962
rs2814959	rs6457796	0.629218841714412	Body mass index	5e-13	30108127
rs2814959	rs6457796	0.629218841714412	Body mass index	1e-14	26426971
rs2814959	rs6457796	0.629218841714412	Educational attainment	5e-19	35361970
rs2814959	rs9689160	0.608647163734184	Lung function (forced vital capacity)	3e-14	36914875
rs2814959	rs205262	0.60038694747696	Body mass index	2e-09	26961502
rs2814959	rs205262	0.60038694747696	Walking pace	4e-10	33128006
rs2814959	rs205262	0.60038694747696	Body mass index	8e-13	30108127
rs2814959	rs205262	0.60038694747696	Body mass index	2e-09	25673413
rs2814959	rs205262	0.60038694747696	Body mass index	2e-14	26426971
rs2814959	rs205262	0.60038694747696	BMI in non-smokers	3e-07	28443625
rs2814959	rs205262	0.60038694747696	BMI in non-smokers	6e-09	28443625
rs2814959	rs205262	0.60038694747696	BMI (adjusted for smoking behaviour)	3e-07	28443625
rs2814959	rs205262	0.60038694747696	BMI (adjusted for smoking behaviour)	3e-09	28443625
rs2814959	rs205262	0.60038694747696	Body mass index (joint analysis main effects and smoking interaction)	3e-09	28443625
rs2814959	rs205262	0.60038694747696	Body mass index (joint analysis main effects and smoking interaction)	2e-07	28443625
rs2814959	rs205262	0.60038694747696	Gastroesophageal reflux disease	1e-10	34187846
rs2814959	rs205262	0.60038694747696	Body mass index	3e-10	25673413
rs2814959	rs205262	0.60038694747696	Body mass index	2e-10	25673413
rs2814959	rs205262	0.60038694747696	ICD10 M54: Dorsalgia	2e-12	35110524
rs2814961	rs9469872	0.985594575361965	HDL cholesterol levels	3e-11	36333282
rs2814961	rs9366863	0.984802831061063	Adult body size	9e-33	32376654
rs2814961	rs9366863	0.984802831061063	Body mass index	2e-44	30595370
rs2814961	rs11755393	0.978509137173925	Body mass index	3e-26	29273807
rs2814961	rs11755393	0.978509137173925	Systemic lupus erythematosus	2e-12	33493351
rs2814961	rs11755393	0.978509137173925	Systemic lupus erythematosus	2e-06	33493351
rs2814961	rs11755393	0.978509137173925	Systemic lupus erythematosus	1e-07	33493351
